TCF3,MSLN,Blood
TCF3,UBE2I,Blood
TCF3,NME3,Blood
TCF3,GFER,Blood
TCF3,TSC2,Blood
TCF3,E4F1,Blood
TCF3,ABCA3,Blood
TCF3,TNFRSF12A,Blood
TCF3,ZNF205,Blood
TCF3,CREBBP,Blood
TCF3,USP7,Blood
TCF3,SOCS1,Blood
TCF3,ERCC4,Blood
TCF3,GTF3C1,Blood
TCF3,MAZ,Blood
TCF3,MVP,Blood
TCF3,ALDOA,Blood
TCF3,MAPK3,Blood
TCF3,SRCAP,Blood
TCF3,PRSS8,Blood
TCF3,FUS,Blood
TCF3,CYLD,Blood
TCF3,CBFB,Blood
TCF3,HSF4,Blood
TCF3,E2F4,Blood
TCF3,ELMO3,Blood
TCF3,CTCF,Blood
TCF3,PSMB10,Blood
TCF3,LCAT,Blood
TCF3,ZFHX3,Blood
TCF3,BCAR1,Blood
TCF3,WWOX,Blood
TCF3,MLYCD,Blood
TCF3,SLC7A5,Blood
TCF3,SNAI3,Blood
TCF3,FANCA,Blood
TCF3,PDE6B,Blood
TCF3,WHSC1,Blood
TCF3,S100P,Blood
TCF3,RBPJ,Blood
TCF3,SRD5A3,Blood
TCF3,CLOCK,Blood
TCF3,CCNG2,Blood
TCF3,SCD5,Blood
TCF3,HPSE,Blood
TCF3,SPRY1,Blood
TCF3,PLK4,Blood
TCF3,ELF2,Blood
TCF3,RPS3A,Blood
TCF3,HMGB2,Blood
TCF3,IRF2,Blood
TCF3,ID2,Blood
TCF3,ADAM17,Blood
TCF3,GRHL1,Blood
TCF3,KLF11,Blood
TCF3,ODC1,Blood
TCF3,E2F6,Blood
TCF3,SDC1,Blood
TCF3,RHOB,Blood
TCF3,TP53I3,Blood
TCF3,NCOA1,Blood
TCF3,DNMT3A,Blood
TCF3,GTF3C2,Blood
TCF3,FOSL2,Blood
TCF3,PLB1,Blood
TCF3,CYP1B1,Blood
TCF3,SLC1A4,Blood
TCF3,WBP1,Blood
TCF3,TLX2,Blood
TCF3,HTRA2,Blood
TCF3,DOK1,Blood
TCF3,HK2,Blood
TCF3,MAT2A,Blood
TCF3,ST3GAL5,Blood
TCF3,STARD7,Blood
TCF3,CIAO1,Blood
TCF3,BCL2L11,Blood
